YearStart,YearEnd,LocationAbbr,LocationDesc,Topic,Question,DataValue,DataValueUnit,DataValueType,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2
2020,2020,WI,Wisconsin,Mental Health,Depression among adults,19.4,%,Crude Prevalence,Race/Ethnicity,Hispanic,,Overall
2020,2020,WA,Washington,Mental Health,Depression among adults,27.4,%,Crude Prevalence,Race/Ethnicity,"Multiracial, non-Hispanic",,Overall
2020,2020,WY,Wyoming,Mental Health,Average mentally unhealthy days among adults,3.5,Number,Crude Mean,Age,Age 45-64,,Overall
2020,2020,WI,Wisconsin,Mental Health,Average mentally unhealthy days among adults,3.9,Number,Crude Mean,Age,Age >=65,,Overall
2020,2020,WV,West Virginia,Mental Health,Frequent mental distress among adults,15.2,%,Age-adjusted Prevalence,Sex,Male,,Overall
2020,2020,VT,Vermont,Mental Health,Frequent mental distress among adults,35.8,%,Age-adjusted Prevalence,Race/Ethnicity,"Multiracial, non-Hispanic",,Overall
2020,2020,WV,West Virginia,Mental Health,Average mentally unhealthy days among adults,0.0,Number,Crude Mean,Race/Ethnicity,Hispanic,,Overall
2020,2020,WA,Washington,Mental Health,Frequent mental distress among adults,8.3,%,Crude Prevalence,Age,Age >=65,,Overall
2020,2020,VT,Vermont,Mental Health,Depression among adults,31.2,%,Crude Prevalence,Race/Ethnicity,Hispanic,,Overall
2020,2020,UT,Utah,Mental Health,Frequent mental distress among adults,15.0,%,Crude Prevalence,Overall,Overall,,Overall
2020,2020,WI,Wisconsin,Mental Health,Frequent mental distress among adults,13.0,%,Age-adjusted Prevalence,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,UT,Utah,Mental Health,Depression among adults,21.5,%,Crude Prevalence,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,Overall
2020,2020,WA,Washington,Mental Health,Frequent mental distress among adults,15.4,%,Age-adjusted Prevalence,Race/Ethnicity,"White, non-Hispanic",,Overall
2021,2021,AL,Alabama,Mental Health,Depression among adults,15.7,%,Crude Prevalence,Sex,Male,,Overall
2020,2020,WY,Wyoming,Mental Health,Frequent mental distress among adults,10.3,%,Crude Prevalence,Age,Age 45-64,,Overall
2020,2020,WA,Washington,Mental Health,Depression among adults,17.7,%,Crude Prevalence,Sex,Male,,Overall
2020,2020,TX,Texas,Mental Health,Depression among adults,21.2,%,Crude Prevalence,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,TX,Texas,Mental Health,Frequent mental distress among adults,15.8,%,Age-adjusted Prevalence,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,WY,Wyoming,Mental Health,Postpartum depressive symptoms among women with a recent live birth,14.8,%,Crude Prevalence,Overall,Overall,,Overall
2020,2020,WY,Wyoming,Mental Health,Average mentally unhealthy days among adults,2.9,Number,Age-adjusted Mean,Sex,Female,,Overall
2021,2021,AL,Alabama,Mental Health,Depression among adults,24.3,%,Crude Prevalence,Race/Ethnicity,"White, non-Hispanic",,Overall
2020,2020,TX,Texas,Mental Health,Frequent mental distress among adults,13.2,%,Crude Prevalence,Overall,Overall,,Overall
2020,2020,WV,West Virginia,Mental Health,Frequent mental distress among adults,19.0,%,Crude Prevalence,Age,Age 45-64,,Overall
2020,2020,WI,Wisconsin,Mental Health,Frequent mental distress among adults,15.3,%,Age-adjusted Prevalence,Race/Ethnicity,"Black, non-Hispanic",,Overall
